account,uid_city,result,city,currency,chart_of_account,country_iso,date,identifier
304,1902,1788.35,Le Noirmont,CHF,MCH2,CH,31.12.2022,to_be_defined
304,2575,4000,Saignelégier,CHF,MCH2,CH,31.12.2022,to_be_defined
304,228,0,Saint-Brais,CHF,MCH2,CH,31.12.2022,to_be_defined
304,118,0,Soubey,CHF,MCH2,CH,31.12.2022,to_be_defined
304,1882,0,Alle,CHF,MCH2,CH,31.12.2022,to_be_defined
304,1114,0,La Baroche,CHF,MCH2,CH,31.12.2022,to_be_defined
304,1217,0,Basse-Allaine,CHF,MCH2,CH,31.12.2022,to_be_defined
304,117,0,Beurnevésin,CHF,MCH2,CH,31.12.2022,to_be_defined
304,1205,0,Boncourt,CHF,MCH2,CH,31.12.2022,to_be_defined
304,625,0,Bonfol,CHF,MCH2,CH,31.12.2022,to_be_defined
304,631,0,Bure,CHF,MCH2,CH,31.12.2022,to_be_defined
304,1275,0,Clos du Doubs,CHF,MCH2,CH,31.12.2022,to_be_defined
304,718,0,Coeuve,CHF,MCH2,CH,31.12.2022,to_be_defined
304,1018,0,Cornol,CHF,MCH2,CH,31.12.2022,to_be_defined
304,293,0,Courchavon,CHF,MCH2,CH,31.12.2022,to_be_defined
304,2435,0,Courgenay,CHF,MCH2,CH,31.12.2022,to_be_defined
304,786,0,Courtedoux,CHF,MCH2,CH,31.12.2022,to_be_defined
304,184,0,Damphreux,CHF,MCH2,CH,31.12.2022,to_be_defined
304,333,0,Fahy,CHF,MCH2,CH,31.12.2022,to_be_defined
304,1674,0,Fontenais,CHF,MCH2,CH,31.12.2022,to_be_defined
304,391,0,Grandfontaine,CHF,MCH2,CH,31.12.2022,to_be_defined
304,1052,0,Haute-Ajoie,CHF,MCH2,CH,31.12.2022,to_be_defined
304,186,0,Lugnez,CHF,MCH2,CH,31.12.2022,to_be_defined
304,6441,0,Porrentruy,CHF,MCH2,CH,31.12.2022,to_be_defined
304,546,0,Vendlincourt,CHF,MCH2,CH,31.12.2022,to_be_defined
304,73865,23702.949999999997,Total,CHF,MCH2,CH,31.12.2022,to_be_defined
304,39309,17914.6,Delémont,CHF,MCH2,CH,31.12.2022,to_be_defined
304,10433,5788.35,Franches-Montagnes,CHF,MCH2,CH,31.12.2022,to_be_defined
304,24123,0,Porrentruy,CHF,MCH2,CH,31.12.2022,to_be_defined
305,951,71318.15,Boécourt,CHF,MCH2,CH,31.12.2022,to_be_defined
305,258,3616.15,Bourrignon,CHF,MCH2,CH,31.12.2022,to_be_defined
305,471,14481.45,Châtillon,CHF,MCH2,CH,31.12.2022,to_be_defined
305,441,43486.25,Courchapoix,CHF,MCH2,CH,31.12.2022,to_be_defined
305,3686,486452.1,Courrendlin,CHF,MCH2,CH,31.12.2022,to_be_defined
305,3313,535838.55,Courroux,CHF,MCH2,CH,31.12.2022,to_be_defined
305,2654,195261.25,Courtételle,CHF,MCH2,CH,31.12.2022,to_be_defined
305,12636,4055630,Delémont,CHF,MCH2,CH,31.12.2022,to_be_defined
305,1360,181566.35,Develier,CHF,MCH2,CH,31.12.2022,to_be_defined
305,112,5016.19,Ederswiler,CHF,MCH2,CH,31.12.2022,to_be_defined
305,7319,574510.1,Haute-Sorne,CHF,MCH2,CH,31.12.2022,to_be_defined
305,522,23363.35,Mervelier,CHF,MCH2,CH,31.12.2022,to_be_defined
305,106,7793.1,Mettembert,CHF,MCH2,CH,31.12.2022,to_be_defined
305,425,38815.7,Movelier,CHF,MCH2,CH,31.12.2022,to_be_defined
305,350,24657.45,Pleigne,CHF,MCH2,CH,31.12.2022,to_be_defined
305,733,40493.9,Rossemaison,CHF,MCH2,CH,31.12.2022,to_be_defined
305,270,12159.95,Saulcy,CHF,MCH2,CH,31.12.2022,to_be_defined
305,417,38457.55,Soyhières,CHF,MCH2,CH,31.12.2022,to_be_defined
305,3285,372993,Val Terbi,CHF,MCH2,CH,31.12.2022,to_be_defined
305,308,9332.95,Le Bémont,CHF,MCH2,CH,31.12.2022,to_be_defined
305,1258,206596.65,Les Bois,CHF,MCH2,CH,31.12.2022,to_be_defined
305,1524,273357.25,Les Breuleux,CHF,MCH2,CH,31.12.2022,to_be_defined
305,87,9735.8,La Chaux-B.,CHF,MCH2,CH,31.12.2022,to_be_defined
305,156,6703,Les Enfers,CHF,MCH2,CH,31.12.2022,to_be_defined
305,510,60199.15,Les Genevez,CHF,MCH2,CH,31.12.2022,to_be_defined
305,705,78957.85,Lajoux,CHF,MCH2,CH,31.12.2022,to_be_defined
305,551,88851.54,Montfaucon,CHF,MCH2,CH,31.12.2022,to_be_defined
305,511,54945.95,Muriaux,CHF,MCH2,CH,31.12.2022,to_be_defined
305,1902,185750.3,Le Noirmont,CHF,MCH2,CH,31.12.2022,to_be_defined
305,2575,287917.8,Saignelégier,CHF,MCH2,CH,31.12.2022,to_be_defined
305,228,13154.8,Saint-Brais,CHF,MCH2,CH,31.12.2022,to_be_defined
305,118,7871.2,Soubey,CHF,MCH2,CH,31.12.2022,to_be_defined
305,1882,99393.95,Alle,CHF,MCH2,CH,31.12.2022,to_be_defined
305,1114,109705.6,La Baroche,CHF,MCH2,CH,31.12.2022,to_be_defined
305,1217,66203.1,Basse-Allaine,CHF,MCH2,CH,31.12.2022,to_be_defined
305,117,11222.6,Beurnevésin,CHF,MCH2,CH,31.12.2022,to_be_defined
305,1205,202919.85,Boncourt,CHF,MCH2,CH,31.12.2022,to_be_defined
305,625,131361.8,Bonfol,CHF,MCH2,CH,31.12.2022,to_be_defined
305,631,32588.05,Bure,CHF,MCH2,CH,31.12.2022,to_be_defined
305,1275,176659.95,Clos du Doubs,CHF,MCH2,CH,31.12.2022,to_be_defined
305,718,68252,Coeuve,CHF,MCH2,CH,31.12.2022,to_be_defined
305,1018,68440.4,Cornol,CHF,MCH2,CH,31.12.2022,to_be_defined
305,293,16433.5,Courchavon,CHF,MCH2,CH,31.12.2022,to_be_defined
305,2435,175892.18,Courgenay,CHF,MCH2,CH,31.12.2022,to_be_defined
305,786,66755.55,Courtedoux,CHF,MCH2,CH,31.12.2022,to_be_defined
305,184,9850.65,Damphreux,CHF,MCH2,CH,31.12.2022,to_be_defined
305,333,20369.85,Fahy,CHF,MCH2,CH,31.12.2022,to_be_defined
305,1674,143177.1,Fontenais,CHF,MCH2,CH,31.12.2022,to_be_defined
305,391,21070.36,Grandfontaine,CHF,MCH2,CH,31.12.2022,to_be_defined
305,1052,203713.45,Haute-Ajoie,CHF,MCH2,CH,31.12.2022,to_be_defined
305,186,12126.94,Lugnez,CHF,MCH2,CH,31.12.2022,to_be_defined
305,6441,1913749.66,Porrentruy,CHF,MCH2,CH,31.12.2022,to_be_defined
305,546,49833.8,Vendlincourt,CHF,MCH2,CH,31.12.2022,to_be_defined
305,73865,11609005.12,Total,CHF,MCH2,CH,31.12.2022,to_be_defined
305,39309,6725910.54,Delémont,CHF,MCH2,CH,31.12.2022,to_be_defined
305,10433,1283374.24,Franches-Montagnes,CHF,MCH2,CH,31.12.2022,to_be_defined
305,24123,3599720.34,Porrentruy,CHF,MCH2,CH,31.12.2022,to_be_defined
