account,city_name,result,identifier,population,currency,chart_of_account,country_iso,date
303,Develier,3679.75,266712,1360,CHF,MCH2,CH,31.12.2022
303,Ederswiler,0,266713,112,CHF,MCH2,CH,31.12.2022
303,Haute-Sorne,0,266729,7319,CHF,MCH2,CH,31.12.2022
303,Mervelier,0,266715,522,CHF,MCH2,CH,31.12.2022
303,Mettembert,0,266716,106,CHF,MCH2,CH,31.12.2022
303,Movelier,0,266718,425,CHF,MCH2,CH,31.12.2022
303,Pleigne,0,266719,350,CHF,MCH2,CH,31.12.2022
303,Rossemaison,0,266721,733,CHF,MCH2,CH,31.12.2022
303,Saulcy,0,266722,270,CHF,MCH2,CH,31.12.2022
303,Soyhières,0,266724,417,CHF,MCH2,CH,31.12.2022
303,Val Terbi,0,266730,3285,CHF,MCH2,CH,31.12.2022
303,Les Bois,0,266742,1258,CHF,MCH2,CH,31.12.2022
303,Les Breuleux,0,266743,1524,CHF,MCH2,CH,31.12.2022
303,Les Enfers,0,266745,156,CHF,MCH2,CH,31.12.2022
303,Montfaucon,0,266751,551,CHF,MCH2,CH,31.12.2022
303,Muriaux,0,266753,511,CHF,MCH2,CH,31.12.2022
303,Le Noirmont,0,266754,1902,CHF,MCH2,CH,31.12.2022
303,Saignelégier,0,266757,2575,CHF,MCH2,CH,31.12.2022
303,Saint-Brais,0,266758,228,CHF,MCH2,CH,31.12.2022
303,Soubey,0,266759,118,CHF,MCH2,CH,31.12.2022
303,Alle,0,266771,1882,CHF,MCH2,CH,31.12.2022
303,La Baroche,0,266810,1114,CHF,MCH2,CH,31.12.2022
303,Basse-Allaine,3431.25,266807,1217,CHF,MCH2,CH,31.12.2022
303,Boncourt,0,266774,1205,CHF,MCH2,CH,31.12.2022
303,Bure,0,266778,631,CHF,MCH2,CH,31.12.2022
303,Clos du Doubs,0,266808,1275,CHF,MCH2,CH,31.12.2022
303,Coeuve,348,266781,718,CHF,MCH2,CH,31.12.2022
303,Cornol,0,266782,1018,CHF,MCH2,CH,31.12.2022
303,Courchavon,0,266783,293,CHF,MCH2,CH,31.12.2022
303,Courgenay,0,266784,2435,CHF,MCH2,CH,31.12.2022
303,Courtedoux,225,266785,786,CHF,MCH2,CH,31.12.2022
303,Fahy,0,266789,333,CHF,MCH2,CH,31.12.2022
303,Fontenais,0,266790,1674,CHF,MCH2,CH,31.12.2022
303,Grandfontaine,0,266792,391,CHF,MCH2,CH,31.12.2022
303,Haute-Ajoie,0,266809,1052,CHF,MCH2,CH,31.12.2022
303,Porrentruy,0,266800,24123,CHF,MCH2,CH,31.12.2022
303,Vendlincourt,0,266806,546,CHF,MCH2,CH,31.12.2022
303,Delémont,3679.75,266711,39309,CHF,MCH2,CH,31.12.2022
303,Porrentruy,4004.25,266800,24123,CHF,MCH2,CH,31.12.2022
304,Boécourt,0,266702,951,CHF,MCH2,CH,31.12.2022
304,Bourrignon,0,266703,258,CHF,MCH2,CH,31.12.2022
304,Courchapoix,0,266706,441,CHF,MCH2,CH,31.12.2022
304,Courrendlin,0,266708,3686,CHF,MCH2,CH,31.12.2022
304,Courroux,17914.6,266709,3313,CHF,MCH2,CH,31.12.2022
304,Courtételle,0,266710,2654,CHF,MCH2,CH,31.12.2022
304,Delémont,0,266711,39309,CHF,MCH2,CH,31.12.2022
304,Develier,0,266712,1360,CHF,MCH2,CH,31.12.2022
304,Ederswiler,0,266713,112,CHF,MCH2,CH,31.12.2022
304,Haute-Sorne,0,266729,7319,CHF,MCH2,CH,31.12.2022
304,Mervelier,0,266715,522,CHF,MCH2,CH,31.12.2022
304,Mettembert,0,266716,106,CHF,MCH2,CH,31.12.2022
304,Movelier,0,266718,425,CHF,MCH2,CH,31.12.2022
304,Pleigne,0,266719,350,CHF,MCH2,CH,31.12.2022
304,Rossemaison,0,266721,733,CHF,MCH2,CH,31.12.2022
304,Saulcy,0,266722,270,CHF,MCH2,CH,31.12.2022
304,Soyhières,0,266724,417,CHF,MCH2,CH,31.12.2022
